id	title	year	venue	language	RQs	relevance	score	decision	reason
hachicha_recommendation_2024	Recommendation {Module}	2024	2024 {Artificial}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hadadi_llm_2025	{LLM}	2025	ACM Trans. Softw. Eng. Methodol.		RQ4	Baja	1.0	Include	Métricas/metodologías
hajaghaie_leveraging_2025	Leveraging {Large}	2025	2025 {IEEE}		RQ4	Baja	1.0	Include	Métricas/metodologías
haldar_rubra_2025	{RUBRA}	2025	2025 {International}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hamayat_seebot_2025	{SEEBot}	2025			-	Excluir	0.0	Exclude	Fuera de alcance
hamed_comparison_2025	A {Comparison}	2025	J. Data and Information Quality		RQ4	Baja	1.0	Include	Métricas/metodologías
hamed_knowledge_2025	From knowledge generation to knowledge verification: examining the biomedical generative capabilities of {ChatGPT}	2025	iScience		RQ4	Baja	1.0	Include	Métricas/metodologías
hamid_can_2025	Can {Large}	2025	2025 {International}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hammoud_human_2024	Human {Language}	2024	Proceedings of the 2024 {ACM}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hamzic_evaluation_2024	Evaluation and {Comparison}	2024	2024 {IEEE}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
han_automating_2024	Automating {Systematic}	2024	Applied Sciences (Switzerland)		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
han_automating_2024-1	Automating systematic literature reviews with retrieval-augmented generation: a comprehensive overview	2024	Applied Sciences		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
han_enhancing_2024	Enhancing {Investment}	2024	Proceedings of the 5th {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
han_event_2024	Event {Traffic}	2024	Proceedings of the 32nd {ACM}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
han_fair-co2_2025	Fair-{CO2}	2025	Proceedings of the 52nd {Annual}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
han_improving_2024	Improving {Assessment}	2024	Proceedings of {Machine}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
han_rag-qa_2024	{RAG}	2024	arXiv preprint arXiv …		RQ4	Baja	1.0	Include	Métricas/metodologías
han_towards_2025	Towards {Unobtrusive}	2025	Proceedings of the 38th {Annual}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
han_xbrl_2024	{XBRL}	2024	Proceedings of the 5th {ACM}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hanafi_creating_2025	Creating {Conversational}	2025			RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hang_trumorgpt_2024	{TrumorGPT}	2024	2024 58th {Annual}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hang_trumorgpt_2025	{TrumorGPT}	2025	IEEE Transactions on Artificial Intelligence		-	Excluir	0.0	Exclude	Fuera de alcance
hang_under-bagging_2022	Under-bagging nearest neighbors for imbalanced classification	2022	J. Mach. Learn. Res.		RQ3	Baja	1.0	Include	XAI/calibración
hannah_legal_2025	On the legal implications of {Large}	2025	Journal of Web Semantics		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hao_advancing_2025	Advancing {Large}	2025	Drones		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hao_rap_2025	{RAP}	2025	2025 {IEEE}		RQ3	Baja	1.0	Include	XAI/calibración
happe_can_2025	Can {LLMs}	2025	ACM Trans. Softw. Eng. Methodol.		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
haroon_twips_2024	{TwIPS}	2024	Proceedings of the 26th {International}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
harvey_dont_2025	"""{Don}}, url = {https://doi.org/10.1145/3706598.3713210}, x_enrich_source = {x-ai/grok-4-fast}, x_enrich_status = {ok}, x_enrich_ts = {2025-11-02T07:08:56Z}, year = {2025"		Proceedings of the 2025 {CHI}		RQ4	Baja	1.0	Include	Métricas/metodologías
harvey_framework_2025	A {Framework}	2025	Proceedings of the 2025 {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
haryanto_contextualized_2024	Contextualized {AI}	2024	2024 17th {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hasan_llm_2025	{LLM}	2025	diva-portal.org		-	Excluir	0.0	Exclude	Fuera de alcance
hasegawa_rag_2024	{RAG}	2024	2024 {International}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hasegawa_rag_2024-1	Rag certainty: {Quantifying}	2024	… Conference on Machine …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hashemi_llm-rubric_2024	{LLM}	2024	arXiv preprint arXiv …		RQ3	Baja	1.0	Include	XAI/calibración
hassan_rethinking_2024	Rethinking {Software}	2024	Companion {Proceedings}		-	Excluir	0.0	Exclude	Fuera de alcance
hayashi_metadata-based_2024	Metadata-based {Data}	2024	2024 {IEEE}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
he_ai_2024	{AI}	2024	Proceedings of the 3rd {Annual}		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
he_can_2025	Can {RAG}	2025	2025 {IEEE}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
he_chinese_2024	Chinese simpleqa: {A}	2024	arXiv preprint arXiv …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
he_cognify_2025	Cognify: {Supercharging}	2025	Proceedings of the 31st {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
he_designminds_2025	{DesignMinds}	2025	Proceedings of the 7th {ACM}		-	Baja	0.0	Maybe	Fuera de alcance
he_external_2025	External {Retrievals}	2025	IEEE Transactions on Fuzzy Systems		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
he_g-retriever_2024	G-retriever: {Retrieval}	2024	Advances in …		RQ4	Baja	1.0	Include	Métricas/metodologías
he_infrrdai_2024	Infrrd.ai at {SemEval}	2024			RQ4	Baja	1.0	Include	Métricas/metodologías
he_large_2025	Large {Language}	2025	ACM Trans. Des. Autom. Electron. Syst.		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
he_low-cost_2025	Low-{Cost}	2025	Proceedings of the 48th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
he_multi-faceted_2025	Multi-{Faceted}	2025	arXiv preprint arXiv:2502.14182		RQ4	Baja	1.0	Include	Métricas/metodologías
he_quality_2024	Quality of {Answers}	2024	Journal of Medical Internet Research		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
he_retrieving_2024	Retrieving	2024			RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
he_retrieving_2024-1	Retrieving	2024	arXiv preprint arXiv …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
he_simple_2024	A simple yet effective retrieval-augmented generation framework for the meta {KDD}	2024	… Augmented Generation		RQ4	Baja	1.0	Include	Métricas/metodologías
he_study_2024	A {Study}	2024	Proceedings of the 2024 {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
he_using_2025	Using {Large}	2025	Aerospace		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
he_venous_2025	Venous {Thrombosis}	2025	Electronics (Switzerland)		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hecking_architecture_2025	An {Architecture}	2025	2025 {IEEE}		RQ4	Baja	1.0	Include	Métricas/metodologías
hedi_artificial_2025	Artificial {Intelligence}	2025	Procedia {Computer}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hedi_personalized_2025	Personalized {Language}	2025	Proceedings of the 24th {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hegde_self_2025	Self {Supervised}	2025	Proceedings of the 4th {International}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
heinrich_systematic_2025	A {Systematic}	2025	Proceedings of the 27th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
heldens_landscape_2020	The {Landscape}	2020	ACM Comput. Surv.		RQ4	Baja	1.0	Include	Métricas/metodologías
hellas_experiences_2024	Experiences from {Integrating}	2024	Proceedings of the 2024 on {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
hemmat_adaptive_2025	Adaptive {Chunking}	2025			RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
henderson_towards_2020	Towards the systematic reporting of the energy and carbon footprints of machine learning	2020	J. Mach. Learn. Res.		-	Excluir	0.0	Exclude	Fuera de alcance
hendrawan_explanations_2024	Explanations in {Open}	2024	Adjunct {Proceedings}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
henkel_retrieval-augmented_2024	Retrieval-augmented generation to improve math question-answering: {Trade}	2024	Proceedings of the …		RQ4	Baja	1.0	Include	Métricas/metodologías
heydari_context_2024	Context {Awareness}	2024	2024 15th {International}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hidayaturrahman_retrieval-augmented_2024	Retrieval-{Augmented}	2024	2024 {International}		-	Excluir	0.0	Exclude	Fuera de alcance
hildebrandt_acceptance_2025	Acceptance	2025	Proceedings of the 18th {ACM}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hillebrand_improving_2023	Improving {Zero}	2023	Proceedings of the {ACM}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hindi_enhancing_2025	Enhancing the {Precision}	2025	IEEE Access		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hindi_enhancing_2025-1	Enhancing the precision and interpretability of retrieval-augmented generation (rag) in legal technology: {A}	2025	IEEE Access		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hiriyanna_multi-layered_2025	Multi-{Layered}	2025	Computers		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ho_enhancing_2025	Enhancing {Visitor}	2025	Proceedings of the 30th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
hodges_using_2025	Using {AI}	2025	Lecture Notes in Computer Science		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hoeber_design_2025	Design {Principles}	2025	Proceedings of the 2025 {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
hoey_social_2025	Social organization as the collective management of uncertainty	2025	Collective Intelligence		RQ3	Baja	1.0	Include	XAI/calibración
hoffmann_malinowski_2025	Malinowski in the {Age}	2025	Proceedings of the 21st {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hoffmann_text_2025	From {Text}	2025	International {Conference}		-	Baja	0.0	Maybe	Fuera de alcance
hofstatter_fid-light_2023	{FiD}	2023	Proceedings of the 46th {International}		RQ3	Baja	1.0	Include	XAI/calibración
hohn_using_2024	Using {Large}	2024	Proceedings of the 6th …		-	Excluir	0.0	Exclude	Fuera de alcance
holvoet_approach_2025	An {Approach}	2025	Lecture Notes in Mechanical Engineering		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hong_context-aware_2024					-	Excluir	0.0	Exclude	Fuera de alcance
hong_innovative_2025	{INNOVATIVE}	2025	International Journal of Innovative Computing		-	Excluir	0.0	Exclude	Fuera de alcance
hopp_free_2024	Free to play: {UN}	2024	arXiv		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hoseini_end--end_2025	End-{To}	2025	Proceedings of the {Workshop}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hou_applied_2025	Applied {Research}	2025	Proceedings of the 2025 4th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
hou_construction_2025	Construction and {Application}	2025	{SAE}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hou_enhancing_2024	Enhancing dietary supplement question answer via retrieval-augmented generation ({RAG}	2024	medRxiv		RQ4	Baja	1.0	Include	Métricas/metodologías
hou_geo-fub_2025	Geo-{FuB}	2025	Knowledge-Based Systems		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hou_improving_2025	Improving {Dietary}	2025	Journal of Medical Internet Research		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hou_improving_2025-1	Improving dietary supplement information retrieval: {Development}	2025	Journal of medical Internet research		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hou_llm-based_2024	{LLM}	2024	2024 {International}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hou_wikicontradict_2024	{WikiContradict}	2024	Advances in {Neural}		-	Excluir	0.0	Exclude	Fuera de alcance
houssel_towards_2024	Towards {Explainable}	2024	2024 {IEEE}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hoveyda_adaptive_2025	Adaptive {Orchestration}	2025	Proceedings of the 48th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
hrckova_autonomation_2025	Autonomation	2025	ACM J. Responsib. Comput.		RQ4	Baja	1.0	Include	Métricas/metodologías
hsieh_found_2024	Found in the middle: {Calibrating}	2024	Proceedings of the {Annual}		RQ4	Baja	1.0	Include	Métricas/metodologías
hsu_addressing_2024	Addressing {LLM}	2024	2024 4th International Conference on …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hsu_evaluating_2024	Evaluating {ChatNetZero}	2024	… meets Climate Change …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hu_aptness_2024	{APTNESS}	2024	Proceedings of the 33rd {ACM}		RQ3	Baja	1.0	Include	XAI/calibración
hu_cg-rag_2025	Cg-rag: {Research}	2025	Proceedings of the 48th …		RQ1,RQ4	Media	2.0	Include	Confianza/percepción y Métricas/metodologías
hu_combining_2025	Combining {Retrieval}	2025	Forum for Linguistic Studies		RQ1,RQ2,RQ4	Alta	3.0	Include	Confianza/percepción y Factualidad/alucinaciones y Métricas/metodologías
hu_hedrarag_2025	{HedraRAG}	2025	arXiv preprint arXiv …		RQ4	Baja	1.0	Include	Métricas/metodologías
hu_icca-rag_2025	{ICCA}	2025	IEEE Access		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hu_intelligent_2025	Intelligent assistant in radiation protection based on large language model with knowledge base	2025	Radiation and Environmental Biophysics		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hu_llm-generated_2025	{LLM}	2025	Proceedings of the 48th {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hu_lrp4rag_2024	Lrp4rag: {Detecting}	2024	arXiv preprint arXiv:2408.15533		RQ4	Baja	1.0	Include	Métricas/metodologías
hu_openmae_2025	{OpenMAE}	2025	Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hu_patchwork_2025	Patchwork: {A}	2025	arXiv preprint arXiv:2505.07833		RQ3	Baja	1.0	Include	XAI/calibración
hu_position_2025	Position: {Towards}	2025	arXiv preprint arXiv …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hu_privacy-preserved_2024	Privacy-{Preserved}	2024	Proceedings of the 30th {ACM}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hu_prompt_2024	Prompt perturbation in retrieval-augmented generation based large language models	2024	Proceedings of the 30th ACM …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hu_rag_2024	Rag and rau: {A}	2024	arXiv preprint arXiv:2404.19543		RQ4	Baja	1.0	Include	Métricas/metodologías
hu_removal_2025	Removal of {Hallucination}	2025	arXiv preprint arXiv …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hu_research_2025	Research on the {Application}	2025	Proceedings of the 2024 {International}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
huang_accessibility_2025	Accessibility {Scout}	2025	Proceedings of the 38th {Annual}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
huang_adapting_2024	Adapting {Large}	2024			RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
huang_chatdc_2025	{ChatDC}	2025	2025 {IEEE}		RQ4	Baja	1.0	Include	Métricas/metodologías
huang_concise_2024	A {Concise}	2024	Proceedings of the {International}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
huang_corgpt_2025	{CorGPT}	2025	Lecture Notes in Computer Science		RQ4	Baja	1.0	Include	Métricas/metodologías
huang_datagen_2024	Datagen: {Unified}	2024	The Thirteenth …		RQ4	Baja	1.0	Include	Métricas/metodologías
huang_dca-bench_2025	{DCA}	2025	Proceedings of the 31st {ACM}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
huang_disambiguate_2024	Disambiguate {Entity}	2024	Proceedings of the {Conference}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
huang_driverp_2024	{DriveRP}	2024	2024 {IEEE}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
huang_embedding-informed_2024	Embedding-{Informed}	2024	arXiv preprint arXiv …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
huang_evaluation_2024	Evaluation of {Orca}	2024	Lecture Notes in Computer Science		RQ4	Baja	1.0	Include	Métricas/metodologías
huang_foodpuzzle_2025	{FoodPuzzle}	2025	Proceedings of the 31st {ACM}		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
huang_generating_2024	Generating {Educational}	2024	Proceedings of the {Third}		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
huang_ket-rag_2025	{KET}	2025	Proceedings of the 31st {ACM}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
huang_medeeprag_2025	{MedeepRAG}	2025	2025 {IEEE}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
huang_paracoder_2025	{ParaCoder}	2025	Proceedings of the 1st {FastCode}		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
huang_penheal_2024	{PenHeal}	2024	Proceedings of the {Workshop}		RQ4	Baja	1.0	Include	Métricas/metodologías
huang_prompting_2025	Prompting large language models with knowledge graphs for question answering involving long-tail facts	2025	Knowledge-Based Systems		RQ4	Baja	1.0	Include	Métricas/metodologías
huang_rd-p_2024	{RD}	2024	Proceedings of the 33rd {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
huang_survey_2025	A {Survey}	2025	ACM Trans. Inf. Syst.		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
huang_trust_2025	{TO}	2025			-	Excluir	0.0	Exclude	Fuera de alcance
huang_understanding_2024	Understanding the planning of {LLM}	2024	arXiv preprint arXiv …		RQ4	Baja	1.0	Include	Métricas/metodologías
huh_vid2coach_2025					RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
huly_old_2024	Old ir methods meet rag	2024	Proceedings of the 47th …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
huly_predicting_2025	Predicting {RAG}	2025	Proceedings of the 48th {International}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hung_dark_2024	Dark {Watchdog}	2024	2024 {Annual}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
huo_retrieving_2023	Retrieving {Supporting}	2023	Proceedings of the {Annual}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hussain_mitigating_2025	Mitigating {Values}	2025	2025 {IEEE}		RQ4	Baja	1.0	Include	Métricas/metodologías
hwang_efficient_2025	Efficient {Information}	2025	Lecture Notes in Electrical Engineering		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
hwang_retrieval-augmented_2024	Retrieval-{Augmented}	2024	arXiv preprint arXiv …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
hyk_queries_2025	From queries to criteria: {Understanding}	2025	arXiv preprint arXiv …		RQ4	Baja	1.0	Include	Métricas/metodologías
i_vilar_accessible_2025	Accessible and {Reliable}	2025	2025 {IEEE}		RQ4	Baja	1.0	Include	Métricas/metodologías
iacob_are_2025	Are {LLMs}	2025	Smart Innovation		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
iannelli_sla_2024	{SLA}	2024	arXiv preprint arXiv:2412.06832		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
iannuzzi_improving_2025	Improving {Accessibility}	2025	ACM J. Responsib. Comput.		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
iaroshev_evaluating_2024	Evaluating {Retrieval}	2024	Applied Sciences (Switzerland)		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ibrahim_mera_2025	{MERA}	2025	Machine Learning and Knowledge Extraction		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ibrahim_understanding_2024	Understanding {Online}	2024	Proc. ACM Hum.-Comput. Interact.		RQ3	Baja	1.0	Include	XAI/calibración
ibrahimzada_alphatrans_2025	{AlphaTrans}	2025	Proc. ACM Softw. Eng.		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ieva_retrieval-augmented_2024	A {Retrieval}	2024	Smart Cities		RQ1,RQ4	Media	2.0	Include	Confianza/percepción y Métricas/metodologías
iivanainen_investigating_2024	Investigating large language model ({LLM}	2024	ascopubs.org		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ilagan_virtual_2025	A {Virtual}	2025	Lecture Notes in Computer Science		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
ilapaka_comprehensive_2025	A {Comprehensive}	2025	2025 7th International Congress on …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
ilyas_enhancing_2025	Enhancing the {RAG}	2025			RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
imasaka_effect_2024	Effect of {LLM}	2024	Proceedings of the 2024 {Annual}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
indebetou_enhancing_2025	Enhancing {Troubleshooting}	2025	diva-portal.org		-	Excluir	0.0	Exclude	Fuera de alcance
inie_how_2025	How {CO2STLY}	2025	Proceedings of the 2025 {CHI}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
iranmanesh_llm-assisted_2025	{LLM}	2025	arXiv preprint arXiv:2504.16813		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
irrera_novel_2023	A {Novel}	2023	J. Data and Information Quality		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
irtiza_llm-sentry_2024	{LLM}	2024	2024 {IEEE}		-	Excluir	0.0	Exclude	Fuera de alcance
isahagian_publish-subscribe_2023	Publish-subscribe with large language models: {Improving}	2023	Proceedings of the 24th {International}		-	Excluir	0.0	Exclude	Fuera de alcance
isbarov_enhanced_2024	Enhanced document retrieval with topic embeddings	2024			RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
islam_open-rag_2024	Open-{RAG}	2024	arXiv		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
islam_open-rag_2024-1	{OPEN}	2024			RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
islam_open-rag_2024-2	Open-rag: {Enhanced}	2024	arXiv preprint arXiv …		RQ4	Baja	1.0	Include	Métricas/metodologías
islayem_using_2025	Using large language models for enhanced fraud analysis and detection in blockchain based health insurance claims	2025	Scientific Reports		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
isozaki_towards_2025	Towards {Automated}	2025	Adjunct {Proceedings}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
israelsen_good_2025	“{A}	2025	J. Hum.-Robot Interact.		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
iyenghar_development_2025	On the {Development}	2025	2025 {IEEE}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
iyenghar_empirical_2025	Empirical {Evaluation}	2025	Electronics (Switzerland)		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
izacard_atlas_2023	Atlas: few-shot learning with retrieval augmented language models	2023	J. Mach. Learn. Res.		-	Baja	0.0	Maybe	Fuera de alcance
j_intelligent_2024	Intelligent {Conversations}	2024	2024 {International}		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
jabarulla_medblock-bot_2025	{MedBlock}	2025	2025 {IEEE}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
jacobs_leveraging_2024	Leveraging {Lecture}	2024	Software {Engineering}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
jacobs_leveraging_2024-1	Leveraging lecture content for improved feedback: {Explorations}	2024	2024 36th International Conference on …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
jacobs_thats_2025	That's {Not}	2025	Proceedings of the 2025 {Conference}		-	Excluir	0.0	Exclude	Fuera de alcance
